481  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.example.integration.purchaseOrder.PurchaseOrderIntegrationTest], using SpringBootContextLoader
498  [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [org.example.integration.purchaseOrder.PurchaseOrderIntegrationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
1031 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
6956 [cluster-rtt-ClusterId{value='6548d98cb523911be805ac08', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:1689}] to localhost:27017
7152 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
7434 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
10583 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
10583 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
10596 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
10666 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 83 ms
10730 [main] INFO  o.e.i.p.PurchaseOrderIntegrationTest - Started PurchaseOrderIntegrationTest in 9.629 seconds (JVM running for 12.131)
12439 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
12439 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
12440 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
12615 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:1690}] to localhost:27017
13048 [main] INFO  o.e.p.c.PurchaseOrderController - [GET request] -> get purchase order by UUID: ec216848-5b8e-4474-a845-e2624b7f7567
13370 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
13370 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
13371 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
13381 [main] INFO  o.e.p.c.PurchaseOrderController - [DELETE request] -> remove purchase order identified by 6ff333d5-9ae5-4e6d-8a2d-c55870b22b48
13423 [main] INFO  o.e.p.c.PurchaseOrderController - [DELETE request] -> remove purchase order identified by 6ff333d5-9ae5-4e6d-8a2d-c55870b22b48
13430 [main] INFO  org.example.GlobalControllerAdvice - [ClientError] -> class org.example.customexceptions.ResourceNotFoundException:Could not find order identified by 6ff333d5-9ae5-4e6d-8a2d-c55870b22b48
13450 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
13450 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
13451 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
13530 [main] INFO  o.e.p.c.PurchaseOrderController - [PUT request] -> update purchase order identified by 80c6d620-6524-45f4-bbf5-7b7c1a0be994. New status: CREATED
13563 [main] INFO  o.e.p.c.PurchaseOrderController - [PUT request] -> update purchase order identified by 80c6d620-6524-45f4-bbf5-7b7c1a0be994. New status: CREATED
13584 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
13584 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
13585 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
13607 [main] INFO  o.e.p.c.PurchaseOrderController - [POST request] -> create purchase order from company 2c70891c-50b5-436d-9496-7c3722adcab0 to company 2c70891c-50b5-436d-9496-7c3722adcab0
20144 [main] ERROR org.example.S3BucketOps - [AWS - put S3 object] -> The specified bucket does not exist
